folder,excel_id
AEETE-018,AEETE-018
AEETE-020-A17,AEETE-020-A17
AEETE-021-A06,AEETE-021-A06
AEETE-023,AEETE-023
AEETE-024-04,AEETE-024-04
AEETE-024-08,AEETE-024-08
AEETE-024-10,AEETE-024-10
AEETE-027-12,AEETE-027-12
AEETE-030-09,AEETE-030-09
AEETE-033,AEETE-033
AEETE-034-CUCUMBER-STRICT-FLAG,AEETE-034
AGPTE-024-TLS-GATEWAY-COLOR-TOKENS,AGPTE-024
AMLCO-002-BINARY-LEGAL-CHECK,AMLCO-002
AMLCO-004-ESR-METADATA-PARAMETERS,AMLCO-004
ANSA-001-A02-NAV-ITEM-DEFINITIONS,ANSA-001-A02
ANSA-001-A06-ACTIVE-INDICATOR-COLOR,ANSA-001-A06
ANSA-001-A11-NAVBAR-SCROLL-PERSISTENCE,ANSA-001-A11
ANSA-001-A15-ROUTING-TEST,ANSA-001-A15
ANSA-001-A16-BADGE-COUNT-TEST,ANSA-001-A16
ANSA-002-A06-BACK-BUTTON-NAVIGATION,ANSA-002-A06
ANSA-006-A17-VISUAL-REGRESSION-TOLERANCE,ANSA-006-A17
ANSA-007-A11-NAV-RAIL-LAYOUT-CHECK,ANSA-007-A11
ANSA-008-A03-NAV-DRAWER-WIDTH-VALIDATION,ANSA-008-A03
ANSA-008-A09-NAV-DRAWER-ANIMATION-GATE,ANSA-008-A09
ANSA-009-A05-NAV-BAR-ELEVATION-TOKEN,ANSA-009-A05
ANSA-013-A02-DESIGN-FIDELITY-GATE,ANSA-013-A02
ANSA-013-A03-IMPLEMENTATION-COMPLETENESS,ANSA-013-A03
ANSA-014-A10-WCAG-ACCESSIBILITY-GATE,ANSA-014-A10
ANSA-014-A13-FUNCTIONAL-TEST-PASS-RATE,ANSA-014-A13
ANSA-014-A17-VISUAL-REGRESSION-SNAPSHOT,ANSA-014-A17
ANSA-018-A02-NAV-SHELL-GRID-DEFINITION,ANSA-018-A02
ANSA-018-A06-SCROLL-BEHAVIOUR-LOCK,ANSA-018-A06
ANSA-019-A12-DRAWER-SCRIM-OPACITY,ANSA-019-A12
ANSA-019-A13-DRAWER-GESTURE-DISMISS,ANSA-019-A13
ANSA-019-A17-DRAWER-VISUAL-REGRESSION,ANSA-019-A17
ANSA-021-A14-RAIL-INDICATOR-WIDTH,ANSA-021-A14
ANSA-021-A16-RAIL-BADGE-COUNT,ANSA-021-A16
ARCPE-006-DEPENDENCY-BOUNDARY,ARCPE-006
ARCPE-008-12-STATE-IMMUTABILITY-GATE,ARCPE-008-12
ARCPE-009-09-API-CONTRACT-VERSION-PINNING,ARCPE-009-09
ARCPE-009-15-API-CONTRACT-BACKWARD-COMPATIBILITY,ARCPE-009-15
ARCPE-016-06-COMPONENT-EVENT-PROPAGATION-GATE,ARCPE-016-06
ARCPE-017-08-ASYNC-OPERATION-TIMEOUT-GATE,ARCPE-017-08
AWCV-001-ACCESSIBLE-WIDGET-COLOR-VALIDATION,AWCV-001
AWCV-013-A07-FOCUS-RING-COLOR-GATE,AWCV-013-A07
AWCV-013-A08-DISABLED-STATE-COLOR-GATE,AWCV-013-A08
AWCV-013-A10-ERROR-STATE-COLOR-GATE,AWCV-013-A10
BCDLD-037-DART-PACKAGE-VERSION-LOCK,BCDLD-037
BCDLD-040-FLUTTER-SDK-VERSION-GATE,BCDLD-040
BCDLD-047-A07-NATIVE-PLUGIN-COMPATIBILITY-GATE,BCDLD-047-A07
BDAE-008-A04-WORKFLOW-PAUSE-GATE,BDAE-008-A04
BDAE-008-A05-VERIFICATION-ENTRY-DISPLAY,BDAE-008-A05
BDAE-008-A09-MFA-REJECTION-TEST,BDAE-008-A09
BDAE-011-A09-BIOMETRIC-TRIGGER-TEST,BDAE-011-A09
BDAE-011-A11-PIN-FALLBACK-MECHANISM,BDAE-011-A11
BDAE-011-A14-BIOMETRIC-SIGNIN-ACCESS,BDAE-011-A14
BDAE-015-SESSION-TOKEN-LIFECYCLE,BDAE-015
BLGTA-008-06-MTOI-EXCEPTION-HANDLER,BLGTA-008-06
BLGTA-009-BQ-LINEAGE-SCHEMA,BLGTA-009
BLGTA-010-LINEAGE-CONSTRAINT-BOARD,BLGTA-010
BLGTA-041-A01,BLGTA-041-A01
BLGTA-041-A02,BLGTA-041-A02
BLGTA-041-A06,BLGTA-041-A06
BLGTA-051-02,BLGTA-051-02
BLGTA-062,BLGTA-062
BPTR-0001-A17,BPTR-0001-A17
BPTR-0019-A01,BPTR-0019-A01
BPTR-0019-A08,BPTR-0019-A08
BPTR-0035-A10,BPTR-0035-A10
BPTR-0035-A13,BPTR-0035-A13
BPTR-0035-A14,BPTR-0035-A14
BPTR-0067-A10,BPTR-0067-A10
BPTR-0144-A10,BPTR-0144-A10
BPTR-0144-A13,BPTR-0144-A13
BPTR-0176-A11,BPTR-0176-A11
BPTR-0176-A12,BPTR-0176-A12
BPTR-0191-A05,BPTR-0191-A05
BPTR-0206-A02,BPTR-0206-A02
BPTR-0206-A04,BPTR-0206-A04
BPTR-0237-A09,BPTR-0237-A09
BPTR-0287-A03,BPTR-0287-A03
BPTR-0287-A06,BPTR-0287-A06
BPTR-0287-A16,BPTR-0287-A16
BPTR-0303-A07,BPTR-0303-A07
BPTR-0303-A15,BPTR-0303-A15
BPTR-0319-A08,BPTR-0319-A08
BPTR-0319-A09,BPTR-0319-A09
BPTR-0319-A15,BPTR-0319-A15
BPTR-0349-A07,BPTR-0349-A07
BPTR-0349-A13,BPTR-0349-A13
BPTR-0363-A10,BPTR-0363-A10
BPTR-0377-A11,BPTR-0377-A11
BPTR-0392-A01,BPTR-0392-A01
BPTR-0392-A12,BPTR-0392-A12
BPTR-0422-A04,BPTR-0422-A04
BPTR-0422-A06,BPTR-0422-A06
BPTR-0437-A14,BPTR-0437-A14
BPTR-0467-A11,BPTR-0467-A11
BPTR-0498-A05,BPTR-0498-A05
BPTR-0544-A01,BPTR-0544-A01
BPTR-0544-A08,BPTR-0544-A08
BPTR-0544-A09,BPTR-0544-A09
BPTR-0544-A13,BPTR-0544-A13
BPTR-0544-A15,BPTR-0544-A15
BPTR-0588-A02,BPTR-0588-A02
BPTR-0588-A10,BPTR-0588-A10
BPTR-0588-A12,BPTR-0588-A12
BPTR-0618-A12,BPTR-0618-A12
BPTR-0618-A14,BPTR-0618-A14
BPTR-0693-A01,BPTR-0693-A01
BPTR-0693-A02,BPTR-0693-A02
BPTR-0725-A03,BPTR-0725-A03
BPTR-0725-A09,BPTR-0725-A09
BPTR-0741-A05,BPTR-0741-A05
BPTR-0741-A10,BPTR-0741-A10
BPTR-0773-A02,BPTR-0773-A02
BPTR-0773-A15,BPTR-0773-A15
BPWSO-002-21,BPWSO-002-21
BPWSO-027-08,BPWSO-027-08
BPWSO-035,BPWSO-035
BTPM-002,BTPM-002
BTPM-008,BTPM-008
BTPM-014-A11,BTPM-014-A11
BTPM-014-A16,BTPM-014-A16
BTPM-026-A01,BTPM-026-A01
BTPM-028-03,BTPM-028-03
CBSV-005-13,CBSV-005-13
CBSV-021,CBSV-021
CBSV-033-12,CBSV-033-12
CBSV-033-13,CBSV-033-13
CBSV-033-14,CBSV-033-14
CCBPB-008-06,CCBPB-008-06
CCBPB-008-09,CCBPB-008-09
CCBPB-011-A04,CCBPB-011-A04
CCBPB-011-A09,CCBPB-011-A09
CCPME-004,CCPME-004
CCPME-017-07,CCPME-017-07
CFCST-002,CFCST-002
CFCST-007,CFCST-007
CFCST-009,CFCST-009
CFCST-013-A06,CFCST-013-A06
CFCST-013-A08,CFCST-013-A08
CFCST-013-A10,CFCST-013-A10
CKCKM-012,CKCKM-012
CPNCA-006-A02,CPNCA-006-A02
CPNCA-006-A03,CPNCA-006-A03
CPNCA-006-A07,CPNCA-006-A07
CPNCA-007-A10,CPNCA-007-A10
CPNCA-019-A02,CPNCA-019-A02
CPNCA-019-A10,CPNCA-019-A10
CPNCA-019-A13,CPNCA-019-A13
CRSSS-004-16,CRSSS-004-16
CSIVW-003-A02,CSIVW-003-A02
CSIVW-003-A08,CSIVW-003-A08
CSIVW-010-A06,CSIVW-010-A06
CSIVW-010-A08,CSIVW-010-A08
CSIVW-012-A05,CSIVW-012-A05
CSIVW-012-A15,CSIVW-012-A15
CSIVW-014-A03,CSIVW-014-A03
CSIVW-014-A04,CSIVW-014-A04
CSIVW-015-A18,CSIVW-015-A18
CTTEE-008,CTTEE-008
CTTEE-009,CTTEE-009
CTTEE-011,CTTEE-011
CUITC-010,CUITC-010
CUITC-012-A04,CUITC-012-A04
CUITC-012-A07,CUITC-012-A07
CUITC-012-A08,CUITC-012-A08
DLQDP-015-01,DLQDP-015-01
DPNDL-001-A10,DPNDL-001-A10
DPNDL-002-A09,DPNDL-002-A09
DPNDL-004-A09,DPNDL-004-A09
DPNDL-005-A14,DPNDL-005-A14
DPNDL-006-A03,DPNDL-006-A03
DPNDL-007-A01,DPNDL-007-A01
DPNDL-008-A13,DPNDL-008-A13
DPNDL-011-A10,DPNDL-011-A10
DPRBR-012,DPRBR-012
DPRBR-015,DPRBR-015
DRVUT-007-A14,DRVUT-007-A14
DRVUT-008-A04,DRVUT-008-A04
DRVUT-009-A08,DRVUT-009-A08
DRVUT-010-A03,DRVUT-010-A03
DRVUT-010-A07,DRVUT-010-A07
DSDD-018,DSDD-018
DSDD-023-14,DSDD-023-14
EDBAA-002,EDBAA-002
EDBAA-004-A01,EDBAA-004-A01
EDBAA-004-A06,EDBAA-004-A06
EDBAA-004-A10,EDBAA-004-A10
EDBAA-008,EDBAA-008
EDBAA-011-A07,EDBAA-011-A07
EDBAA-015-02,EDBAA-015-02
EDBAA-020-A02,EDBAA-020-A02
EDBAA-024-A07,EDBAA-024-A07
EDEBS-002-09,EDEBS-002-09
EDEBS-002-12,EDEBS-002-12
EDEBS-006-18,EDEBS-006-18
EDEBS-008-19,EDEBS-008-19
EDEBS-013-12,EDEBS-013-12
EDEBS-014,EDEBS-014
EDEBS-038-05,EDEBS-038-05
EDEBS-038-10,EDEBS-038-10
EDEBS-038-12,EDEBS-038-12
ERMWD-004-14,ERMWD-004-14
ERMWD-031-04,ERMWD-031-04
FEBFL-001-A04,FEBFL-001-A04
FEBFL-013-A04,FEBFL-013-A04
FEBFL-013-A05,FEBFL-013-A05
FEBFL-013-A06,FEBFL-013-A06
FEBFL-018-A12,FEBFL-018-A12
FEBFL-018-A14,FEBFL-018-A14
FEBFL-037-A01,FEBFL-037-A01
FIEVR-006-A04,FIEVR-006-A04
FIEVR-006-A13,FIEVR-006-A13
FIEVR-018-A01,FIEVR-018-A01
FIEVR-032-A15,FIEVR-032-A15
FLADE-003,FLADE-003
FLADE-006-01,FLADE-006-01
GEN-00207,GEN-00207
GEN-00211,GEN-00211
GEN-00222,GEN-00222
GEN-00233,GEN-00233
GEN-00245,GEN-00245
GEN-00256,GEN-00256
GEN-00267,GEN-00267
GEN-00278,GEN-00278
GEN-00289,GEN-00289
GEN-00300,GEN-00300
GEN-00311,GEN-00311
GEN-00322,GEN-00322
GEN-00333,GEN-00333
GEN-00344,GEN-00344
GEN-00355,GEN-00355
GEN-00366,GEN-00366
GEN-00377,GEN-00377
GEN-00388,GEN-00388
GEN-00399,GEN-00399
GEN-00410,GEN-00410
GEN-00421,GEN-00421
GEN-00432,GEN-00432
GEN-00443,GEN-00443
GEN-00454,GEN-00454
GEN-00465,GEN-00465
GEN-00476,GEN-00476
GEN-00487,GEN-00487
GEN-00498,GEN-00498
GEN-00509,GEN-00509
GEN-00520,GEN-00520
GEN-00531,GEN-00531
GEN-00542,GEN-00542
GEN-00553,GEN-00553
GEN-00564,GEN-00564
GEN-00575,GEN-00575
GEN-00586,GEN-00586
GEN-00597,GEN-00597
GEN-00608,GEN-00608
GEN-00619,GEN-00619
GEN-00630,GEN-00630
GEN-00641,GEN-00641
GEN-00652,GEN-00652
GEN-00663,GEN-00663
GEN-00674,GEN-00674
GEN-00685,GEN-00685
GEN-00697,GEN-00697
GEN-00708,GEN-00708
GEN-00719,GEN-00719
GEN-00730,GEN-00730
GEN-00741,GEN-00741
GEN-00752,GEN-00752
GEN-00763,GEN-00763
GEN-00774,GEN-00774
GEN-00785,GEN-00785
GEN-00796,GEN-00796
GEN-00807,GEN-00807
GEN-00818,GEN-00818
GEN-00829,GEN-00829
GEN-00840,GEN-00840
GEN-00852,GEN-00852
GRLIC-020-16,GRLIC-020-16
HAZFE-022-A05,HAZFE-022-A05
HC-SCH-0015,HC-SCH-0015
IRBCA-048,IRBCA-048
IS02-CSIVW-005-AS01-A12,IS02-CSIVW-005-AS01-A12
IS03-CSIVW-007-AS01-A04,IS03-CSIVW-007-AS01-A04
IS05-CSIVW-026-AS01-A07,IS05-CSIVW-026-AS01-A07
IS05-CSIVW-026-AS01-A09,IS05-CSIVW-026-AS01-A09
IS05-CSIVW-026-AS01-A13,IS05-CSIVW-026-AS01-A13
IS11-TTMAC-005-AS01-A06,IS11-TTMAC-005-AS01-A06
IS11-TTMAC-005-AS01-A15,IS11-TTMAC-005-AS01-A15
IS21-RIMV-015-AS01-A05,IS21-RIMV-015-AS01-A05
IS24-MTVPE-006-AS01-A05,IS24-MTVPE-006-AS01-A05
IS29-SCTAS-007-AS01-A10,IS29-SCTAS-007-AS01-A10
IS31-MUFCE-017-AS01-A04,IS31-MUFCE-017-AS01-A04
IS33-FEBFL-028-AS01-A11,IS33-FEBFL-028-AS01-A11
IS36-SLPLU-012-AS01-A02,IS36-SLPLU-012-AS01-A02
IS36-SLPLU-012-AS01-A07,IS36-SLPLU-012-AS01-A07
IS36-SLPLU-012-AS01-A11,IS36-SLPLU-012-AS01-A11
IS36-SLPLU-012-AS01-A14,IS36-SLPLU-012-AS01-A14
IS37-CSIVW-025-AS01-A15,IS37-CSIVW-025-AS01-A15
IS50-MUFCE-014-AS01-A05,IS50-MUFCE-014-AS01-A05
MCIIM-014-04,MCIIM-014-04
MD3DA-018-A01-A05,MD3DA-018-A01-A05
MLVTP-002,MLVTP-002
MUFCE-013-A08,MUFCE-013-A08
MUFCE-013-A10,MUFCE-013-A10
MUFCE-013-A13,MUFCE-013-A13
MUFCE-018-A02,MUFCE-018-A02
MUFCE-026-A11,MUFCE-026-A11
NSKFI-001-A17,NSKFI-001-A17
NSKFI-002-A03,NSKFI-002-A03
NSKFI-002-A16,NSKFI-002-A16
NSKFI-002-A18,NSKFI-002-A18
NSKFI-003-A04,NSKFI-003-A04
NSKFI-003-A05,NSKFI-003-A05
NSKFI-014-A01,NSKFI-014-A01
OFBSE-010-A04,OFBSE-010-A04
OFBSE-010-A05,OFBSE-010-A05
ONCS-001,ONCS-001
ONLSC-008-12,ONLSC-008-12
OPMV-022-A05,OPMV-022-A05
PBTC-007-A11,PBTC-007-A11
PBTC-007-A15,PBTC-007-A15
PELCE-012-09,PELCE-012-09
PELCE-018-A16,PELCE-018-A16
RCGLA-002-A02,RCGLA-002-A02
RCGLA-003-A10,RCGLA-003-A10
RCGLA-004-A15,RCGLA-004-A15
RCGLA-006-A12,RCGLA-006-A12
RCGLA-012-A06,RCGLA-012-A06
RCGLA-012-A08,RCGLA-012-A08
RCGLA-014-A09,RCGLA-014-A09
RCGLA-016-A13,RCGLA-016-A13
RCGLA-018-A07,RCGLA-018-A07
RCGLA-021-A17,RCGLA-021-A17
RCGLA-023-A03,RCGLA-023-A03
RCGLA-023-A05,RCGLA-023-A05
RCGLA-034-A18,RCGLA-034-A18
REF-001-A05,REF-001-A05
REF-046-A01,REF-046-A01
REF-046-A02,REF-046-A02
REF-046-A13,REF-046-A13
REF-046-A14,REF-046-A14
REF-242-A06,REF-242-A06
REF-242-A10,REF-242-A10
REF-377-A09,REF-377-A09
REF-392-A04,REF-392-A04
REF-392-A05,REF-392-A05
REF-407-A07,REF-407-A07
RRCVG-024-A02,RRCVG-024-A02
RRCVG-024-A09,RRCVG-024-A09
RRCVG-024-A16,RRCVG-024-A16
RRCVG-049-A07,RRCVG-049-A07
SCTAS-013-A02,SCTAS-013-A02
SCTSS-002-A04,SCTSS-002-A04
SCTSS-002-A08,SCTSS-002-A08
SCTSS-002-A13,SCTSS-002-A13
SCTSS-005-A06,SCTSS-005-A06
SCTSS-008-A05,SCTSS-008-A05
SCTSS-011-A05,SCTSS-011-A05
SCTSS-017-A02,SCTSS-017-A02
SCTSS-017-A11,SCTSS-017-A11
SCTSS-017-A15,SCTSS-017-A15
SCTSS-018-A04,SCTSS-018-A04
SCTSS-018-A12,SCTSS-018-A12
SCTSS-018-A14,SCTSS-018-A14
SCTSS-018-A15,SCTSS-018-A15
SCTSS-018-A16,SCTSS-018-A16
SCTSS-020-A03,SCTSS-020-A03
SCTSS-020-A13,SCTSS-020-A13
SGTIM-002-A18,SGTIM-002-A18
SGTIM-019-A02,SGTIM-019-A02
SGTIM-019-A05,SGTIM-019-A05
SLPLU-003-A04,SLPLU-003-A04
SLPLU-003-A05,SLPLU-003-A05
SLPLU-003-A12,SLPLU-003-A12
SLPLU-005-A01,SLPLU-005-A01
SLPLU-014-A03,SLPLU-014-A03
SLPLU-015-A17,SLPLU-015-A17
SLPLU-017-A01,SLPLU-017-A01
SLPLU-017-A07,SLPLU-017-A07
SLPLU-017-A08,SLPLU-017-A08
SSELC-002-A12,SSELC-002-A12
SSELC-002-A16,SSELC-002-A16
SSELC-020-A05,SSELC-020-A05
SSELC-023-A05,SSELC-023-A05
SSELC-029-A14,SSELC-029-A14
SSTLA-005-A16,SSTLA-005-A16
SSTLA-011-A16,SSTLA-011-A16
SSTLA-013-A04,SSTLA-013-A04
SSTLA-015-A01,SSTLA-015-A01
SSTLA-020-A04,SSTLA-020-A04
SSTLA-029-A05,SSTLA-029-A05
SSTLA-036-A04,SSTLA-036-A04
TECH-ENG-004,TECH-ENG-004
TECH-ENG-022,TECH-ENG-022
TECH-ENG-037,TECH-ENG-037
TECH-ENG-049,TECH-ENG-049
TNRML-001-A01,TNRML-001-A01
TNRML-010-A05,TNRML-010-A05
TNRML-011-A04,TNRML-011-A04
TTCFC-008-A11,TTCFC-008-A11
TTCFC-008-A13,TTCFC-008-A13
TTIAS-001-A05,TTIAS-001-A05
TTIAS-001-A12,TTIAS-001-A12
